#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
3.0,6,43.877081
2.5,4,43.886082
2.5,4,43.895082
0.5,6,43.908082
2.5,4,43.918082
2.5,4,43.927083
2.5,4,43.937087
3.8,5,43.967596
0.5,6,43.979596
1.5,5,43.991605
2.5,4,44.006597
1.5,5,44.017597
2.8,6,44.031603
2.5,4,44.040604
2.5,4,44.050115
1.5,5,44.062115
2.5,4,44.071115
2.5,4,44.087115
2.5,4,44.098115
2.1,6,44.111115
2.5,4,44.121114
2.5,4,44.137119
3.0,6,44.150627
1.5,5,44.161627
2.5,4,44.172628
2.5,4,44.188628
1.7,5,44.200629
2.5,4,44.210629
2.5,4,44.219629
2.5,4,44.229628
2.0,7,44.244633
1.7,5,44.256705
2.5,4,44.265705
3.8,5,44.277705
3.4,6,44.290705
1.7,5,44.302706
2.5,4,44.313705
1.9,6,44.337262
2.5,4,44.346773
2.5,4,44.356772
-0.5,7,44.371774
2.5,4,44.381854
